Year,Week,Year_Week,Route,Fleet_Type,Actual_Trips,Total_Volume_Tons,Is_Peak_Event,Date,YearMonth,Month,Time_Index,Is_Peak_Week,Actual_Trips_Trend,Actual_Trips_Detrended,Actual_Trips_Seasonal_Baseline,Actual_Trips_Residual,Actual_Trips_Outlier_Candidate,Total_Volume_Tons_Trend,Total_Volume_Tons_Detrended,Total_Volume_Tons_Seasonal_Baseline,Total_Volume_Tons_Residual,Total_Volume_Tons_Outlier_Candidate,Is_Outlier_Candidate
2021,1,2021-W01,HCM-HN,Container_30T,38,1098.9,0,2021-01-07,2021-01,1,1,0,39.37063256107602,-1.3706325610760217,-1.3706325610760217,0.0,False,1122.941149499593,-24.04112508553044,-24.04112508553044,0.0,False,False
2021,1,2021-W01,HCM-HN,Truck_15T,53,742.2,0,2021-01-07,2021-01,1,1,0,54.40526843669958,-1.4052684366995791,-1.4052684366995791,0.0,False,772.2619160791767,-30.06190387214542,-30.06190387214542,0.0,False,False
2021,1,2021-W01,HN-HCM,Container_30T,46,1316.2,0,2021-01-07,2021-01,1,1,0,44.12048315235995,1.8795168476400477,0.5325955764620005,1.3469212711780472,False,1258.4654873691338,57.734463802741175,12.105912803061074,45.6285509996801,False,False
2021,1,2021-W01,HN-HCM,Truck_15T,59,852.9,0,2021-01-07,2021-01,1,1,0,59.32197636244487,-0.3219763624448717,-0.3219763624448717,0.0,False,843.627397399834,9.272627014228533,9.272627014228533,0.0,False,False
2021,2,2021-W02,HCM-HN,Container_30T,38,1069.3,0,2021-01-14,2021-01,1,2,0,39.437761048275576,-1.4377610482755756,-2.1111905130052406,0.673429464729665,False,1124.8563904196524,-55.55634159152737,-55.55634159152737,0.0,False,False
2021,2,2021-W02,HCM-HN,Truck_15T,56,786.1,0,2021-01-14,2021-01,1,2,0,54.49830533759947,1.5016946624005314,-3.2911725806812484,4.79286724308178,True,773.5851820801054,12.514793505832131,-35.58445181370985,48.09924531954198,False,True
2021,2,2021-W02,HN-HCM,Container_30T,42,1219.5,0,2021-01-14,2021-01,1,2,0,44.19813674526044,-2.1981367452604417,-2.1981367452604417,0.0,False,1260.6839065430706,-41.183906543070634,-41.183906543070634,0.0,False,False
2021,2,2021-W02,HN-HCM,Truck_15T,60,859.1,0,2021-01-14,2021-01,1,2,0,59.423875668624085,0.5761243313759152,-3.6258653511192165,4.201989682495132,False,845.0592302709055,14.04074531503204,-50.62068118534762,64.66142650037966,False,False
2021,3,2021-W03,HCM-HN,Container_30T,39,1105.6,0,2021-01-21,2021-01,1,3,0,39.50488953547514,-0.5048895354751366,0.3794908213717534,-0.88438035684689,False,1126.7716313397116,-21.171655753774075,9.462831133992836,-30.63448688776691,False,False
2021,3,2021-W03,HCM-HN,Truck_15T,55,769.7,0,2021-01-21,2021-01,1,3,0,54.59134223849935,0.40865776150064903,-2.453253733887209,2.861911495387858,False,774.9084480810342,-5.20843587400293,-33.67464417947883,28.466208305475902,False,False
2021,3,2021-W03,HN-HCM,Container_30T,44,1243.5,0,2021-01-21,2021-01,1,3,0,44.27579033816094,-0.2757903381609381,-1.180531821201992,0.9047414830410538,False,1262.9023257170072,-19.402325717007216,-34.41667445903465,15.014348742027437,False,False
2021,3,2021-W03,HN-HCM,Truck_15T,58,824.4,0,2021-01-21,2021-01,1,3,0,59.525774974803305,-1.525774974803305,-2.827101429800056,1.301326454996751,False,846.4910631419771,-22.091038727914565,-28.965359682594794,6.874320954680229,False,False
2021,4,2021-W04,HCM-HN,Container_30T,40,1125.0,0,2021-01-28,2021-01,1,4,0,39.57201802267469,0.4279819773253095,0.4279819773253095,0.0,False,1128.686872259771,-3.6868722597710075,-3.6868722597710075,0.0,False,False
2021,4,2021-W04,HCM-HN,Truck_15T,55,766.8,0,2021-01-28,2021-01,1,4,0,54.68437913939924,0.31562086060075956,0.31562086060075956,0.0,False,776.2317140819629,-9.431726288994128,-9.431726288994128,0.0,False,False
